pfile13,  success, 81, 81, 18/09/2015 02:29:24, 18/09/2015 02:29:36,11.7903498,1.6897443,9.5735272
pfile14,  success, 65, 65, 18/09/2015 02:29:36, 18/09/2015 02:29:49,12.5333854,1.7740344,10.1955219
pfile15,  success, 88, 88, 18/09/2015 02:29:49, 18/09/2015 02:30:13,24.3409322,3.7781189,18.8293877
pfile16,  success, 191, 191, 18/09/2015 02:30:14, 18/09/2015 02:31:50,95.8160457,13.4959207,77.6920426
pfile17,  success, 172, 138, 18/09/2015 02:31:50, 18/09/2015 02:33:17,87.0095936,18.4981965,61.5000725
pfile18,  success, 202, 186, 18/09/2015 02:33:18, 18/09/2015 02:36:32,194.6381654,40.9240218,142.6671668
pfile19,  failed - timeout, -1, -1, 18/09/2015 02:36:33, 01/01/0001 00:00:00,-63578140593.8255,91.1779782,-63578140698.1568
pfile2,  success, 14, 14, 18/09/2015 02:51:35, 18/09/2015 02:51:41,6.4119641,1.3753516,5.0025898
pfile20,  fail: plan is null, -1, -1, 18/09/2015 02:51:42, 18/09/2015 02:53:14,91.8814582,-63578141530.8376,63578141594.4853
pfile3,  success, 12, 12, 18/09/2015 02:53:15, 18/09/2015 02:53:21,6.2126462,1.3397923,4.8396548
pfile4,  success, 14, 14, 18/09/2015 02:53:22, 18/09/2015 02:53:30,7.9932757,1.3541272,6.5941185
pfile5,  success, 18, 14, 18/09/2015 02:53:30, 18/09/2015 02:53:39,8.8807469,1.3563177,7.4623872
pfile6,  success, 8, 4, 18/09/2015 02:53:39, 18/09/2015 02:53:46,6.810535,1.3702552,5.3643366
pfile7,  success, 12, 12, 18/09/2015 02:53:46, 18/09/2015 02:53:54,7.6846653,1.3765325,6.2049878
pfile8,  success, 22, 14, 18/09/2015 02:53:54, 18/09/2015 02:54:03,9.4877851,1.3939993,7.9760834
pfile9,  success, 42, 38, 18/09/2015 02:54:03, 18/09/2015 02:54:12,8.3415682,1.4065794,6.8010874
p01,  plan verification failed, -1, -1, 18/09/2015 02:54:12, 18/09/2015 02:54:17,4.976704,1.4912044,3.3314541
p02,  success, 23, 13, 18/09/2015 02:54:17, 18/09/2015 02:54:27,10.1584087,1.5027419,8.4375208
p03,  plan verification failed, -1, -1, 18/09/2015 02:54:27, 18/09/2015 02:54:31,3.3777541,1.5781126,1.6307172
p04,  success, 36, 16, 18/09/2015 02:54:31, 18/09/2015 02:54:42,11.6882997,1.583665,9.9094977
p05,  plan verification failed, -1, -1, 18/09/2015 02:54:43, 18/09/2015 02:54:47,4.0940415,1.7105194,2.0725631
p06,  fail: plan is null, -1, -1, 18/09/2015 02:54:47, 18/09/2015 03:00:34,346.8860398,-63578141687.7979,63578142034.3748
p07,  success, 59, 25, 18/09/2015 03:00:34, 18/09/2015 03:00:49,14.9790023,1.7624598,12.847762
p08,  success, 44, 25, 18/09/2015 03:00:49, 18/09/2015 03:01:03,13.7397998,1.8058255,11.5096
p09,  fail: plan is null, -1, -1, 18/09/2015 03:01:03, 18/09/2015 03:06:03,299.5302798,-63578142064.1101,63578142363.1934
p10,  success, 80, 34, 18/09/2015 03:06:03, 18/09/2015 03:06:21,18.4465596,1.9500793,15.9968886
p11,  plan verification failed, -1, -1, 18/09/2015 03:06:22, 18/09/2015 03:06:42,20.2733661,15.9400797,3.6598366
p12,  plan verification failed, -1, -1, 18/09/2015 03:06:42, 18/09/2015 03:07:06,23.7940237,15.7811562,7.2783764
p13,  plan verification failed, -1, -1, 18/09/2015 03:07:06, 18/09/2015 03:07:31,25.1697355,17.6028726,6.5939081
p14,  success, 96, 55, 18/09/2015 03:07:32, 18/09/2015 03:08:08,36.6965592,18.6192285,16.9266284
p15,  success, 102, 73, 18/09/2015 03:08:09, 18/09/2015 03:08:50,40.8412045,20.2292469,19.3291006
p16,  success, 102, 67, 18/09/2015 03:08:50, 18/09/2015 03:09:33,43.1455774,21.7460251,19.933575
p17,  plan verification failed, -1, -1, 18/09/2015 03:09:33, 18/09/2015 03:10:03,29.8960493,20.8085507,7.3646736
p18,  success, 129, 88, 18/09/2015 03:10:03, 18/09/2015 03:11:03,59.8161233,24.187989,33.8005046
p19,  plan verification failed, -1, -1, 18/09/2015 03:11:04, 18/09/2015 03:12:17,72.9273491,24.7398829,46.1897671
p20,  plan verification failed, -1, -1, 18/09/2015 03:12:17, 18/09/2015 03:13:26,69.2148569,27.7170487,39.3203576
probLOGISTICS-10-0,  success, 56, 20, 18/09/2015 03:13:26, 18/09/2015 03:13:41,14.9309931,1.4834384,13.3915174
probLOGISTICS-10-1,  success, 50, 24, 18/09/2015 03:13:41, 18/09/2015 03:13:55,13.3082316,1.4842202,11.7739498
probLOGISTICS-11-0,  success, 63, 27, 18/09/2015 03:13:55, 18/09/2015 03:14:09,13.9540841,1.5084408,12.398611
probLOGISTICS-11-1,  success, 66, 45, 18/09/2015 03:14:09, 18/09/2015 03:14:30,20.4773493,1.5306371,18.8113208
probLOGISTICS-12-0,  success, 52, 20, 18/09/2015 03:14:30, 18/09/2015 03:14:44,14.4666098,1.4914,12.9223275
probLOGISTICS-12-1,  success, 76, 48, 18/09/2015 03:14:44, 18/09/2015 03:15:07,22.2150509,1.5439959,20.527705
probLOGISTICS-13-0,  success, 90, 42, 18/09/2015 03:15:07, 18/09/2015 03:15:31,23.8778757,1.8420101,21.9133676
probLOGISTICS-13-1,  success, 78, 35, 18/09/2015 03:15:31, 18/09/2015 03:15:53,21.7639126,1.8239532,19.8188784
probLOGISTICS-14-0,  success, 70, 32, 18/09/2015 03:15:53, 18/09/2015 03:16:14,20.7000592,1.9162872,18.6668596
probLOGISTICS-14-1,  success, 93, 41, 18/09/2015 03:16:14, 18/09/2015 03:16:37,23.0356064,1.9059393,21.0128842
probLOGISTICS-15-0,  success, 104, 45, 18/09/2015 03:16:38, 18/09/2015 03:17:02,24.4858284,1.9542959,22.4064492
probLOGISTICS-15-1,  success, 92, 40, 18/09/2015 03:17:02, 18/09/2015 03:17:23,20.5846609,1.8971748,18.5674061
probLOGISTICS-4-0,  success, 22, 17, 18/09/2015 03:17:23, 18/09/2015 03:17:30,7.0558532,1.3511044,5.6927373
probLOGISTICS-5-0,  success, 34, 17, 18/09/2015 03:17:30, 18/09/2015 03:17:40,9.6292739,1.3519869,8.265278
probLOGISTICS-6-0,  success, 36, 18, 18/09/2015 03:17:40, 18/09/2015 03:17:49,8.9924517,1.3427042,7.6357318
probLOGISTICS-7-0,  success, 50, 25, 18/09/2015 03:17:49, 18/09/2015 03:18:02,12.1916991,1.3857919,10.7768401
probLOGISTICS-8-0,  success, 40, 17, 18/09/2015 03:18:02, 18/09/2015 03:18:14,11.91982,1.3795121,10.5112886
probLOGISTICS-8-1,  success, 54, 21, 18/09/2015 03:18:14, 18/09/2015 03:18:28,14.0332225,1.3978647,12.6093405
probLOGISTICS-9-0,  success, 47, 21, 18/09/2015 03:18:28, 18/09/2015 03:18:39,10.8063826,1.3827604,9.3986059
