probBLOCKS-10-0	  success	38	34	7.428713	10.1768829	3828	2126	6188	0
probBLOCKS-10-1	  success	42	35	20.2812966	50.020969	17979	9158	33227	0
probBLOCKS-10-2	  success	52	43	17.2582426	24.5029052	9003	5147	16708	0
probBLOCKS-11-0	  success	30	23	7.2925799	12.9754738	3801	2004	7381	0
probBLOCKS-11-1	  success	28	24	6.36408	11.0180514	3159	1706	6702	0
probBLOCKS-11-2	  success	42	34	31.3869258	76.6415023	20577	10716	40709	0
probBLOCKS-12-1	  success	46	37	18.0777879	43.1486038	9339	4767	16608	0
probBLOCKS-13-1	  success	60	46	90.7453474	258.7161481	39906	20320	76417	0
probBLOCKS-14-0	  success	50	45	63.305026	202.9756197	29181	13727	49872	0
probBLOCKS-14-1	  success	50	44	63.3826381	195.8858705	27150	14222	54966	0
probBLOCKS-9-0	  success	36	27	40.0425907	52.5400735	23241	11998	38734	0
probBLOCKS-9-1	  success	40	34	62.8237588	91.4646913	37155	18431	64616	0
probBLOCKS-9-2	  success	24	19	2.7759745	3.6368216	1545	882	2694	0
pfile1	  success	10	4	0.0870716	0.5010444	92	81	99	0
pfile10	  success	29	10	0.776879	5.3417374	1379	909	1731	0
pfile11	  success	100	32	32.6313878	209.8962654	22099	14612	27101	0
pfile13	  success	26	9	0.6386835	4.798418	749	630	1194	0
pfile14	  success	68	42	29.5641804	180.4495392	14910	11527	26620	0
pfile16	  success	27	10	2.2962307	9.0531445	1323	998	3093	0
pfile17	  success	24	11	4.011035	12.957343	595	454	1723	0
pfile19	  success	77	39	28.5722243	219.8424987	18477	13484	44749	0
pfile2	  success	15	6	0.1600141	0.7512753	400	345	484	0
pfile3	  success	34	13	0.659743	2.403088	1428	967	1646	0
pfile4	  success	43	22	2.0961931	7.3639507	2368	1921	3322	0
pfile5	  success	119	54	62.2469284	202.330986	35756	27746	45800	0
pfile7	  success	48	28	39.8219404	106.1935305	30456	26692	45555	0
pfile8	  success	43	22	3.6180742	12.3998628	1828	1461	3415	0
pfile9	  success	83	38	67.1234975	223.0813659	13924	9022	23252	0
pfile1	  success	6	6	0.0604836	0.337763	2	8	16	0
pfile10	  success	16	16	0.2406176	0.8641176	20	40	230	0
pfile11	  success	20	20	0.4201483	1.2540697	26	55	325	0
pfile12	  success	32	20	1.3194894	3.204441	51	103	595	0
pfile13	  success	25	23	1.6873614	4.1630473	51	88	661	0
